category,brand,founding_year,age_as_of_2026_01_01,primary_source_url,tie_breaker_source_url,notes
oliveoil,Núñez de Prado,1986,40,https://brindisa.com/blogs/news/a-trip-to-nunez-de-prado,https://en.andalucia.org/listing/almazara-n%C3%BA%C3%B1ez-de-prado/17693101/,"Family olive oil production traces to 1795 (Baena, Andalucía). Modern premium organic brand launched 1986 by the three Núñez de Prado brothers (Paco, Andrés, Felipe); first organic certification in Spain 1990. Brand-as-marketed pivot follows Castillo de Canena precedent (modern brand year, not estate tradition). Pre-1986 production was bulk oil, not premium branded."
oliveoil,Olio Verde,1989,37,https://www.manicaretti.com/producers/olio-verde,http://www.olio-verde.it/well-oiled/,"Olio Verde brand released 1989 by Gianfranco Becchina; estate purchased and restored 1985. Brand-as-marketed = 1989 (first commercial release of the brand-named oil). First Sicilian monocultivar olive oil."
running,Adidas,1949,77,https://www.adidas-group.com/en/about/history/,https://en.wikipedia.org/wiki/Adidas,"Founded by Adi Dassler in Herzogenaurach, Germany after split from brother Rudolf (who founded Puma 1948). Brand 'Adidas' registered 18 August 1949."
running,Altra,2011,15,https://www.altrarunning.com/about-us,https://en.wikipedia.org/wiki/Altra_Running,"Founded by Golden Harper in Utah. Known for zero-drop heel and FootShape toe box design. Acquired by VF Corporation 2018 (brand year preserved per acquisition rule)."
running,Asics,1977,49,https://corp.asics.com/en/about_asics/history,https://en.wikipedia.org/wiki/Asics,"Predecessor Onitsuka Co. Ltd. founded 1949 by Kihachiro Onitsuka; 1977 merger with GTO and JELENK formed Asics Corporation. Brand-as-marketed 'Asics' starts 1977 — 'Onitsuka Tiger' was the separate prior brand (and remains a retro line within Asics). Per Decision 6 ('brand-as-marketed'), use 1977 rename year — analogous to Castillo de Canena precedent (modern brand year, not parent corporate heritage)."
running,Brooks,1914,112,https://www.brooksrunning.com/en_us/our-story/heritage/,https://en.wikipedia.org/wiki/Brooks_Sports,"Founded by Morris Goldenberg in Philadelphia, PA as Brooks Shoe Manufacturing Co. Multiple bankruptcies and re-organizations across 20th century; brand identity continuous. Owned by Berkshire Hathaway since 2006."
running,Hoka,2009,17,https://www.hoka.com/about-us.html,https://en.wikipedia.org/wiki/Hoka_(brand),"Founded by Nicolas Mermoud and Jean-Luc Diard in Annecy, France as 'Hoka One One'; acquired by Deckers Outdoor 2013 (brand year preserved per acquisition rule); rebranded to 'Hoka' in 2021 (brand year preserved per reformulation rule)."
running,New Balance,1906,120,https://www.newbalance.com/our_story.html,https://en.wikipedia.org/wiki/New_Balance,"Founded by William J. Riley in Belmont, Massachusetts as 'New Balance Arch Support Company'. Family-owned (Davis family) since 1972."
running,Nike,1971,55,https://about.nike.com/en/company,https://en.wikipedia.org/wiki/Nike%2C_Inc.,"Predecessor 'Blue Ribbon Sports' founded by Phil Knight and Bill Bowerman 25 January 1964 in Eugene, Oregon. Renamed to Nike Inc. 30 May 1971; swoosh logo and Cortez running shoe introduced same year. Brand-as-marketed 'Nike' starts 1971 — analogous to Asics 1977 and Castillo de Canena 2003 (modern brand year wins, not predecessor corporate heritage)."
running,Norda,2020,6,https://nordarun.com/blogs/stories/the-founders,https://trailrunner.com/trail-news/norda-raises-expectations-for-trail-shoes/,"Founded by Nick and Willa Martire in Montreal, Canada in early 2020. First commercial sale July 2021 (≤2yr rule: use earlier year, 2020). Some sources list 2021 as founding year — these reference the commercial-launch year, not the company-founding year."
running,On,2010,16,https://www.on-running.com/en-us/about,https://en.wikipedia.org/wiki/On_(running_shoe_company),"Founded by Olivier Bernhard, David Allemann, and Caspar Coppetti in Zurich, Switzerland. CloudTec sole technology launched same year."
running,Puma,1948,78,https://about.puma.com/en/this-is-puma/history,https://en.wikipedia.org/wiki/Puma_(brand),"Founded by Rudolf Dassler in Herzogenaurach, Germany after split from brother Adi (who founded Adidas 1949). Brand 'Puma Schuhfabrik Rudolf Dassler' registered 1 October 1948."
running,Salomon,1947,79,https://www.salomon.com/en-us/our-story,https://en.wikipedia.org/wiki/Salomon_Group,"Founded by François Salomon, Jeanne Salomon, and Georges Salomon in Annecy, France. Originally a ski/winter sports brand; running shoes line added 1990s. Owned by Amer Sports."
running,Saucony,1898,128,https://www.saucony.com/en/our-history,https://en.wikipedia.org/wiki/Saucony,"Founded as Saucony Manufacturing Company in Kutztown, Pennsylvania, USA. Acquired by Wolverine World Wide 2005 (brand year preserved per acquisition rule)."
running,Topo Athletic,2013,13,https://www.topoathletic.com/about-us,https://en.wikipedia.org/wiki/Topo_Athletic,"Founded by Tony Post (former Vibram FiveFingers president) in Massachusetts. Known for low-drop, wide toe-box trail and road running shoes."
pmsoftware,PLACEHOLDER_17_BRANDS,SEE_V11_DEPOSIT,SEE_V11_DEPOSIT,SEE_V11_DEPOSIT,SEE_V11_DEPOSIT,"PM software brand age table to be replicated from v0.11 deposit registries/brand_age_sources.csv. Replication preserves v0.11/v0.12 covariate construction comparability."
